Back,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,
,,Gender Inequality Index,,,,Maternal mortality ratio,,Adolescent birth rate,,Share of seats in parliament,,Population with at least some secondary education,,,,Labour force participation rate ,,,a
,,Value,,Rank,,"(deaths per 100,000 live births)",,"(births per 1,000 women ages 15–19)",,(% held by women),,(% ages 25 and older),,,,(% ages 15 and older),,,
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
,,2021,,2021,,2017,,2021,,2021,,2021,b,2021,b,2021,,2021,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
1,Switzerland,0.018,,3,,5,,2.2,,39.8,,96.9,,97.5,,61.7,,72.7,
2,Norway,0.016,,2,,2,,2.3,,45.0,,99.1,,99.3,,60.3,,72.0,
3,Iceland,0.043,,8,,4,,5.4,,47.6,,99.8,,99.7,,61.7,,70.5,
4,"Hong Kong, China (SAR)",..,,..,,..,,1.6,,..,,77.1,,83.4,,53.5,,65.8,
5,Australia,0.073,,19,,6,,8.1,,37.9,,94.6,,94.4,,61.1,,70.5,
6,Denmark,0.013,,1,,4,,1.9,,39.7,,95.1,,95.2,,57.7,,66.7,
7,Sweden,0.023,,4,,4,,3.3,,47.0,,91.8,,92.2,,61.7,,68.0,
8,Ireland,0.074,,21,,5,,5.9,,27.3,,88.1,c,86.0,c,56.5,,68.6,
9,Germany,0.073,,19,,7,,7.5,,34.8,,96.1,c,96.5,c,56.8,,66.0,
10,Netherlands,0.025,,5,,5,,2.8,,39.1,,89.8,,92.7,,62.4,,71.3,
11,Finland,0.033,,6,,3,,4.2,,46.0,,99.0,,98.5,,56.5,,64.0,
12,Singapore,0.040,,7,,8,,2.6,,29.8,,80.5,,85.9,,59.4,,76.8,
13,Belgium,0.048,,10,,5,,5.3,,42.9,,87.2,,89.7,,49.8,,58.8,
13,New Zealand,0.088,,25,,9,,12.6,,49.2,,82.0,,81.8,,65.1,,75.3,
15,Canada,0.069,,17,,10,,7.0,,34.4,,100.0,d,100.0,d,60.8,,69.7,
16,Liechtenstein,..,,..,,..,,3.0,,28.0,,..,,..,,..,,..,
17,Luxembourg,0.044,,9,,5,,4.3,,35.0,,100.0,e,100.0,e,58.5,,65.5,
18,United Kingdom,0.098,,27,,7,,10.5,,31.1,,99.8,,99.8,,58.0,,67.1,
19,Japan,0.083,,22,,5,,2.9,,14.2,,95.9,,92.7,,53.3,,71.0,
19,Korea (Republic of),0.067,,15,,11,,2.2,,19.0,,83.1,c,93.1,c,53.4,,72.4,
21,United States,0.179,,44,,19,,16.0,,27.0,,96.5,,96.4,,55.2,,66.4,
22,Israel,0.083,,22,,3,,7.6,,28.3,,91.6,c,93.7,c,58.5,,66.1,
23,Malta,0.167,,42,,6,,11.5,,13.4,,82.2,,88.1,,53.1,,71.4,
23,Slovenia,0.071,,18,,7,,4.5,,21.5,,97.6,,98.7,,53.8,,62.2,
25,Austria,0.053,,12,,5,,5.5,,39.3,,100.0,d,100.0,d,55.5,,66.3,
26,United Arab Emirates,0.049,,11,,3,,3.1,,50.0,,82.0,,85.6,,46.5,,88.0,
27,Spain,0.057,,14,,4,,6.3,,42.3,,78.5,,83.2,,52.7,,62.4,
28,France,0.083,,22,,8,,9.5,,37.8,,83.5,,87.9,,51.9,,59.7,
29,Cyprus,0.123,,35,,6,,6.8,,14.3,,81.1,,84.8,,56.6,,68.8,
30,Italy,0.056,,13,,2,,4.0,,35.3,,78.6,,86.1,,39.9,,57.6,
31,Estonia,0.100,,28,,9,,8.8,,25.7,,97.6,,98.1,,57.5,,70.2,
32,Czechia,0.120,,34,,3,,9.7,,22.1,,99.8,,99.8,,51.7,,68.1,
33,Greece,0.119,,32,,3,,8.5,,21.7,,69.9,,77.8,,43.3,,58.1,
34,Poland,0.109,,31,,2,,9.7,,27.5,,86.5,,90.7,,49.2,,65.5,
35,Bahrain,0.181,,46,,14,,8.7,,18.8,,79.9,,83.1,,42.4,,83.5,
35,Lithuania,0.105,,30,,8,,10.4,,27.7,,95.5,,97.9,,57.3,,67.9,
35,Saudi Arabia,0.247,,59,,17,,11.9,,19.9,,71.3,,80.9,,30.9,,80.1,
38,Portugal,0.067,,15,,8,,7.4,,40.0,,59.7,,61.9,,54.0,,62.2,
39,Latvia,0.151,,40,,19,,11.2,,29.0,,99.7,c,99.3,c,54.5,,66.8,
40,Andorra,..,,..,,..,,5.9,,46.4,,70.7,c,72.4,c,..,,..,
40,Croatia,0.093,,26,,8,,8.6,,31.1,,97.0,c,100.0,c,45.9,,58.8,
42,Chile,0.187,,47,,13,,24.1,,32.7,,80.3,c,83.5,c,44.2,,65.5,
42,Qatar,0.220,,54,,9,,7.1,,4.4,,79.8,c,69.6,c,57.2,,95.5,
44,San Marino,..,,..,,..,,3.8,,33.3,,81.8,,84.3,,..,,..,
45,Slovakia,0.180,,45,,5,,26.3,,22.7,,98.9,,99.2,,54.7,,66.4,
46,Hungary,0.221,,55,,12,,22.1,,13.1,,97.6,,98.8,,52.1,,67.2,
47,Argentina,0.287,,69,,39,,39.1,,44.4,,71.0,f,71.4,f,50.0,,71.6,
48,Türkiye,0.272,,65,,17,,16.9,,17.3,,56.3,,75.9,,31.8,,69.4,
49,Montenegro,0.119,,32,,6,,10.4,,24.7,,92.3,c,99.2,c,47.8,,62.0,
50,Kuwait,0.305,,74,,12,,5.6,,1.5,,60.9,c,55.2,c,47.4,,83.8,
51,Brunei Darussalam,0.259,,61,,31,,10.0,,9.1,,70.4,,71.2,,54.1,,72.3,
52,Russian Federation,0.203,,50,,17,,15.0,,16.5,,92.8,e,95.9,e,54.5,,69.7,
53,Romania,0.282,,67,,19,,36.4,,18.5,,88.8,,93.7,,42.8,,62.3,
54,Oman,0.300,,72,,19,,9.9,,9.9,,96.6,,99.9,,28.7,,85.0,
55,Bahamas,0.329,,78,,70,,25.7,,20.0,,87.0,c,89.9,c,65.6,,71.5,
56,Kazakhstan,0.161,,41,,10,,21.9,,24.5,,99.8,c,100.0,c,63.3,,75.5,
57,Trinidad and Tobago,0.344,,81,,67,,38.1,,32.4,,84.8,d,80.6,d,46.7,,68.0,
58,Costa Rica,0.256,,60,,27,,37.1,,45.6,,56.2,,54.5,,47.5,,71.1,
58,Uruguay,0.235,,58,,17,,36.2,,26.2,,59.6,,55.5,,54.8,,69.3,
60,Belarus,0.104,,29,,2,,11.9,,34.7,,97.5,,99.0,,57.3,,71.4,
61,Panama,0.392,,96,,52,,69.9,,22.5,,70.2,,68.7,,50.4,,72.6,
62,Malaysia,0.228,,57,,29,,9.3,,14.9,,75.0,,78.4,,51.2,,77.6,
63,Georgia,0.280,,66,,25,,31.7,,19.3,,97.1,,98.3,,51.0,,68.0,
63,Mauritius,0.347,,82,,61,,24.6,,20.0,,64.4,c,70.8,c,43.4,,70.4,
63,Serbia,0.131,,36,,12,,14.9,,39.2,,88.6,,95.3,,46.6,,62.3,
66,Thailand,0.333,,79,,37,,32.7,,13.9,,47.6,,51.7,,59.0,,75.0,
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
67,Albania,0.144,,39,,15,,14.5,,35.7,,95.4,f,93.0,d,50.7,,66.2,
68,Bulgaria,0.210,,52,,10,,38.6,,23.8,,94.9,,96.5,,49.1,,62.6,
68,Grenada,..,,..,,25,,32.7,,32.1,,..,,..,,..,,..,
70,Barbados,0.268,,64,,27,,42.3,,29.4,,95.4,d,86.0,d,56.1,,63.7,
71,Antigua and Barbuda,..,,..,,42,,33.1,,31.4,,..,,..,,..,,..,
72,Seychelles,..,,..,,53,,53.4,,22.9,,..,,..,,..,,..,
73,Sri Lanka,0.383,,92,,36,,15.7,,5.4,,84.0,,84.2,,30.9,,68.5,
74,Bosnia and Herzegovina,0.136,,38,,10,,9.9,,24.6,,82.7,,94.0,,32.3,,52.4,
75,Saint Kitts and Nevis,..,,..,,..,,38.2,,25.0,,..,,..,,..,,..,
76,Iran (Islamic Republic of),0.459,,115,,16,,30.2,,5.6,,71.6,c,76.0,c,14.4,,68.1,
77,Ukraine,0.200,,49,,19,,15.6,,20.8,,96.2,d,95.8,f,48.1,,63.6,
78,North Macedonia,0.134,,37,,7,,16.4,,41.7,,61.9,,75.1,,42.4,,63.4,
79,China,0.192,,48,,29,,11.0,,24.9,,78.3,d,85.4,d,61.6,,74.3,
80,Dominican Republic,0.429,,106,,95,,65.6,,25.7,,77.4,c,76.9,c,49.6,,75.2,
80,Moldova (Republic of),0.205,,51,,19,,27.8,,39.6,,96.1,,98.0,,33.9,,43.9,
80,Palau,..,,..,,..,,42.5,,6.9,,96.9,,97.3,,..,,..,
83,Cuba,0.303,,73,,36,,48.8,,53.4,,89.5,c,91.9,c,40.3,,68.5,
84,Peru,0.380,,90,,88,,56.8,,40.0,,59.3,c,69.9,c,66.1,,81.9,
85,Armenia,0.216,,53,,26,,18.5,,33.6,,96.0,,97.1,,42.7,,63.0,
86,Mexico,0.309,,75,,33,,54.4,,49.8,,65.1,,66.7,,43.8,,75.4,
87,Brazil,0.390,,94,,60,,45.2,,14.8,,62.4,c,59.1,c,49.1,,68.2,
88,Colombia,0.424,,102,,83,,59.0,,19.6,,58.9,,56.5,,52.2,,78.0,
89,Saint Vincent and the Grenadines,0.390,,94,,68,,47.9,,18.2,,44.1,,39.6,,52.9,,74.1,
90,Maldives,0.348,,83,,53,,7.3,,4.6,,46.4,d,41.5,d,34.3,,67.5,
91,Algeria,0.499,,126,,112,,11.7,,7.5,,46.0,c,56.9,c,15.7,,64.5,
91,Azerbaijan,0.294,,70,,26,,40.1,,18.2,,93.6,,97.6,,60.4,,67.3,
91,Tonga,0.631,,160,,52,,19.0,,0.0,g,93.5,d,93.1,d,37.3,,55.3,
91,Turkmenistan,0.177,,43,,7,,21.8,,25.0,,93.5,,92.2,,36.5,,55.6,
95,Ecuador,0.362,,85,,59,,63.2,,39.4,,53.0,,52.0,,53.3,,76.5,
96,Mongolia,0.313,,76,,45,,26.7,,17.1,,79.3,,73.0,,51.5,,66.6,
97,Egypt,0.443,,109,,37,,44.8,,22.9,,81.6,c,76.6,c,15.4,,67.1,
97,Tunisia,0.259,,61,,43,,6.7,,26.3,,42.9,c,51.8,c,25.5,,67.2,
99,Fiji,0.318,,77,,34,,26.8,,21.6,,90.2,d,87.9,d,37.7,,75.3,
99,Suriname,0.427,,105,,120,,56.1,,29.4,,69.9,h,70.7,h,43.4,,65.1,
101,Uzbekistan,0.227,,56,,29,,15.9,,28.7,,99.9,,100.0,,44.9,,70.9,
102,Dominica,..,,..,,..,,38.5,,34.4,,..,,..,,..,,..,
102,Jordan,0.471,,118,,46,,25.4,,11.8,,77.4,,84.2,,13.5,,62.3,
104,Libya,0.259,,61,,72,,6.9,,16.0,,70.5,i,45.1,i,34.1,,61.0,
105,Paraguay,0.445,,111,,84,,70.3,,16.8,,52.5,,54.0,,59.6,,84.2,
106,"Palestine, State of",..,,..,,27,,43.5,,..,,67.9,,67.6,,16.7,,66.3,
106,Saint Lucia,0.381,,91,,117,,36.9,,24.1,,49.9,,43.8,,63.2,,73.2,
108,Guyana,0.454,,114,,169,,66.6,,35.7,,69.5,,62.2,,40.3,,64.1,
109,South Africa,0.405,,97,,119,,61.2,,46.0,j,68.9,,87.7,,46.2,,59.9,
110,Jamaica,0.335,,80,,80,,32.8,,31.0,,74.3,d,66.4,d,56.1,,70.0,
111,Samoa,0.418,,99,,43,,43.6,,7.8,,79.1,k,71.6,k,30.7,,54.2,
112,Gabon,0.541,,140,,252,,91.2,,18.7,,67.2,l,84.0,l,39.1,,57.0,
112,Lebanon,0.432,,108,,29,,20.3,,4.7,,54.3,k,55.6,k,20.8,,64.3,
114,Indonesia,0.444,,110,,177,,33.9,,21.0,,51.0,,58.2,,53.7,,81.7,
115,Viet Nam,0.296,,71,,43,,34.6,,30.3,,61.3,,69.6,,69.6,,79.4,
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
116,Philippines,0.419,,101,,121,,48.2,,28.0,,73.4,,69.1,,43.8,,68.3,
117,Botswana,0.468,,117,,144,,49.3,,10.8,,91.3,,91.8,,56.3,,65.1,
118,Bolivia (Plurinational State of),0.418,,99,,155,,63.8,,48.2,,60.1,,69.7,,68.3,,83.8,
118,Kyrgyzstan,0.370,,87,,60,,34.7,,20.5,,100.0,d,99.8,d,42.1,,71.7,
120,Venezuela (Bolivarian Republic of),0.492,,123,,125,,82.7,,22.2,,79.8,d,75.4,d,34.3,,67.8,
121,Iraq,0.558,,145,,79,,62.2,,28.9,,42.0,h,52.9,h,11.1,,71.8,
122,Tajikistan,0.285,,68,,17,,45.4,,23.4,,93.5,d,94.6,d,30.2,,50.5,
123,Belize,0.364,,86,,36,,57.1,,19.6,,54.5,,49.8,,46.9,,76.8,
123,Morocco,0.425,,104,,70,,25.9,,20.4,,30.9,,37.1,,22.0,,66.0,
125,El Salvador,0.376,,88,,46,,55.9,,27.4,,42.7,,51.4,,43.6,,72.6,
126,Nicaragua,0.424,,102,,98,,85.6,,50.5,,51.2,,49.7,,46.8,,81.3,
127,Bhutan,0.415,,98,,183,,19.0,,16.7,,23.6,,32.3,,51.6,,67.4,
128,Cabo Verde,0.349,,84,,58,,55.2,,38.9,,28.8,m,31.2,m,46.9,,61.7,
129,Bangladesh,0.530,,131,,173,,75.5,,20.9,,50.6,,58.5,,34.9,,78.8,
130,Tuvalu,..,,..,,..,,33.1,,6.3,,60.0,,60.7,,..,,..,
131,Marshall Islands,..,,..,,..,,58.0,,6.1,,91.6,,92.5,,..,,..,
132,India,0.490,,122,,133,n,17.2,,13.4,,41.8,d,53.8,d,19.2,,70.1,
133,Ghana,0.529,,130,,308,,64.2,,14.5,,58.0,d,73.2,d,64.5,,72.2,
134,Micronesia (Federated States of),..,,..,,88,,35.8,,7.1,,..,,..,,..,,..,
135,Guatemala,0.481,,121,,95,,64.1,,19.4,,29.5,,35.8,,37.4,,80.3,
136,Kiribati,..,,..,,92,,40.5,,6.7,,..,,..,,..,,..,
137,Honduras,0.431,,107,,65,,72.0,,27.3,,35.8,,44.8,,42.3,,78.9,
138,Sao Tome and Principe,0.494,,124,,130,,79.4,,23.6,,39.9,h,48.4,h,37.1,,69.9,
139,Namibia,0.445,,111,,195,,64.9,,35.6,,41.5,d,44.1,d,54.5,,62.2,
140,Lao People's Democratic Republic,0.478,,120,,185,,73.2,,22.0,,37.7,,47.7,,74.8,,78.1,
140,Timor-Leste,0.378,,89,,142,,33.9,,38.5,,33.7,,41.8,,61.0,,72.2,
140,Vanuatu,..,,..,,72,,64.1,,0.0,g,..,,..,,59.7,,78.0,
143,Nepal,0.452,,113,,186,,63.8,,33.6,,28.8,d,44.7,d,78.7,,80.8,
144,Eswatini (Kingdom of),0.540,,138,,437,,69.9,,18.4,,34.0,,36.2,,45.6,,53.6,
145,Equatorial Guinea,..,,..,,301,,139.7,,20.3,,..,,..,,49.9,,58.5,
146,Cambodia,0.461,,116,,160,,45.5,,19.8,,18.3,,31.7,,74.0,,85.9,
146,Zimbabwe,0.532,,134,,458,,94.3,,34.6,,61.8,c,72.4,c,79.3,,88.9,
148,Angola,0.537,,136,,241,,138.4,,29.5,,28.2,,51.5,,74.0,,79.1,
149,Myanmar,0.498,,125,,250,,33.0,,15.0,,38.5,,47.8,,41.0,,70.0,
150,Syrian Arab Republic,0.477,,119,,31,,38.7,,11.2,,37.1,o,43.4,o,15.7,,70.8,
151,Cameroon,0.565,,148,,529,,110.4,,31.1,,36.8,d,55.0,d,70.2,,80.7,
152,Kenya,0.506,,128,,342,,64.2,,23.2,,31.1,d,37.7,d,71.0,,75.6,
153,Congo,0.564,,147,,378,,103.6,,13.6,,48.0,,52.0,,65.1,,67.6,
154,Zambia,0.540,,138,,213,,117.0,,15.1,,47.1,d,56.8,d,69.2,,77.8,
155,Solomon Islands,..,,..,,104,,60.3,,8.0,,..,,..,,83.1,,87.4,
156,Comoros,..,,..,,273,,58.2,,16.7,,..,,..,,32.1,,54.5,
156,Papua New Guinea,0.725,,169,,145,,55.3,,0.0,g,10.8,,15.5,,46.3,,48.1,
158,Mauritania,0.632,,161,,766,,78.0,,20.3,,14.5,d,21.9,d,27.4,,62.2,
159,Côte d'Ivoire,0.613,,155,,617,,105.0,,15.6,,23.9,d,32.2,d,45.9,,64.9,
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
160,Tanzania (United Republic of),0.560,,146,,524,,123.7,,36.9,,13.0,c,19.1,c,79.5,,87.1,
161,Pakistan,0.534,,135,,140,,42.3,,19.9,,22.1,,28.7,,20.7,,78.1,
162,Togo,0.580,,149,,396,,77.9,,18.7,,13.9,d,42.3,d,55.5,,59.4,
163,Haiti,0.635,,163,,480,,52.5,,2.7,p,27.9,,41.0,,60.7,,68.9,
163,Nigeria,0.680,,168,,917,,101.7,,4.5,,40.4,q,55.3,q,47.9,,59.6,
165,Rwanda,0.388,,93,,248,,32.4,,55.7,,11.4,c,16.3,c,82.5,,82.2,
166,Benin,0.602,,152,,397,,92.3,,8.4,,21.1,d,34.4,d,69.3,,72.6,
166,Uganda,0.530,,131,,375,,107.9,,33.8,,29.3,,36.3,,64.2,,71.3,
168,Lesotho,0.557,,144,,544,,89.6,,22.9,,27.2,f,24.6,f,56.1,,71.3,
169,Malawi,0.554,,142,,349,,117.9,,22.9,,21.3,d,28.4,d,71.6,,80.0,
170,Senegal,0.530,,131,,315,,66.5,,43.0,,11.1,c,30.9,c,33.5,,56.7,
171,Djibouti,..,,..,,248,,22.7,,26.2,,..,,..,,17.2,,44.1,
172,Sudan,0.553,,141,,295,,79.9,,31.0,r,16.4,,20.1,,28.7,,67.8,
173,Madagascar,0.556,,143,,335,,119.4,,17.2,,27.3,s,29.8,s,81.5,,87.6,
174,Gambia,0.611,,153,,597,,63.2,,8.6,,29.9,,43.2,,48.9,,66.3,
175,Ethiopia,0.520,,129,,401,,69.2,,39.5,,9.1,,20.1,,72.3,,84.7,
176,Eritrea,..,,..,,480,,64.4,,22.0,p,..,,..,,70.2,,83.6,
177,Guinea-Bissau,0.627,,159,,667,,87.5,,13.7,,9.8,,22.8,,63.9,,78.4,
178,Liberia,0.648,,164,,661,,123.4,,9.7,,20.8,,39.2,,69.8,,79.7,
179,Congo (Democratic Republic of the),0.601,,151,,473,,109.0,,14.3,,40.3,h,69.1,h,61.2,,69.1,
180,Afghanistan,0.678,,167,,638,,82.6,,27.2,,6.4,,14.9,,14.8,,66.5,
181,Sierra Leone,0.633,,162,,"1,120",,100.9,,12.3,,34.7,d,51.5,d,56.1,,55.9,
182,Guinea,0.621,,157,,576,,114.8,,16.7,t,7.2,c,19.7,c,62.1,,62.2,
183,Yemen,0.820,,170,,164,,54.4,,0.3,,22.4,,37.5,,6.0,,67.6,
184,Burkina Faso,0.621,,157,,320,,110.5,,6.3,,11.3,c,17.1,c,57.2,,72.7,
185,Mozambique,0.537,,136,,289,,165.8,,42.4,,10.8,c,20.2,c,77.7,,78.9,
186,Mali,0.613,,155,,562,,150.1,,27.3,,8.0,,15.5,,57.7,,79.7,
187,Burundi,0.505,,127,,548,,53.6,,38.9,,7.8,c,13.0,c,79.0,,77.4,
188,Central African Republic,0.672,,166,,829,,160.5,,12.9,,13.9,,31.6,,63.3,,79.5,
189,Niger,0.611,,153,,509,,170.5,,25.9,,9.2,d,15.2,d,61.7,,84.3,
190,Chad,0.652,,165,,"1,140",,138.3,,32.3,,7.7,s,24.4,s,46.9,,69.9,
191,South Sudan,0.587,,150,,"1,150",,99.2,,32.3,,26.5,,36.4,,70.4,,73.6,
,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,89,,2.3,,17.6,,..,,..,,77.2,,86.1,
,Monaco,..,,..,,..,,7.2,,33.3,,..,,..,,..,,..,
,Nauru,..,,..,,..,,72.5,,10.5,,..,,..,,..,,..,
,Somalia,..,,..,,829,,118.0,,24.6,,..,,..,,20.9,,47.0,
,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,
,Very high human development,0.155,,—,,15,,14.1,,29.1,,87.0,,89.4,,52.6,,68.4,
,High human development,0.329,,—,,62,,28.0,,25.8,,72.7,,78.0,,53.6,,73.5,
,Medium human development,0.494,,—,,175,,38.1,,21.8,,44.0,,54.2,,28.8,,71.3,
,Low human development,0.577,,—,,499,,89.5,,24.3,,22.8,,34.1,,49.3,,73.2,
,,,,,,,,,,,,,,,,,,,
,Developing countries,0.487,,—,,247,,46.5,,23.9,,56.9,,64.7,,44.4,,72.8,
,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,
,Arab States,0.536,,—,,150,,45.3,,18.3,,53.8,,60.4,,19.3,,69.5,
,East Asia and the Pacific,0.337,,—,,82,,21.6,,20.9,,71.4,,78.2,,59.7,,75.2,
,Europe and Central Asia,0.227,,—,,20,,20.1,,26.1,,83.4,,89.7,,42.9,,67.0,
,Latin America and the Caribbean,0.381,,—,,75,,53.4,,33.2,,63.2,,63.2,,48.6,,72.7,
,South Asia,0.508,,—,,153,,28.9,,17.6,,42.2,,52.8,,21.6,,71.6,
,Sub-Saharan Africa,0.569,,—,,536,,100.9,,25.7,,31.1,,44.3,,62.1,,72.3,
,,,,,,,,,,,,,,,,,,,
,Least developed countries,0.562,,—,,417,,93.7,,24.7,,27.5,,38.7,,54.6,,75.8,
,Small island developing states,0.461,,—,,212,,50.9,,26.7,,62.1,,65.7,,50.4,,68.7,
,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.185,,—,,18,,19.2,,32.4,,86.7,,89.1,,51.8,,67.8,
,,,,,,,,,,,,,,,,,,,
,World,0.465,,—,,225,,42.5,,25.9,,64.2,,70.3,,46.2,,71.7,
,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,
,a. Estimates modelled by the International Labour Organization.,,,,,,,,,,,,,,,,,,
,b. Data refer to 2021 or the most recent year available.,,,,,,,,,,,,,,,,,,
,c. Updated by HDRO based on data from UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,
,d. Updated by HDRO based on data from Barro and Lee (2018) and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,
,e. Updated by HDRO based on data from OECD (2022) and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,
,"f. HDRO estimate based on data from Robert Barro and Jong-Wha Lee, ICF Macro Demographic and Health Surveys, the Organisation for Economic Co-operation and Development, United Nations Children’s Fund (UNICEF) Multiple Indicator Cluster Surveys and the United Nations Educational, Scientific and Cultural Organization Institute for Statistics.",,,,,,,,,,,,,,,,,,
,"g. In calculating the Gender Inequality Index, a value of 0.1 percent was used.",,,,,,,,,,,,,,,,,,
,h. Updated by HDRO based on data from UNESCO Institute for Statistics (2022) and UNICEF Multiple Indicator Cluster Surveys for various years.,,,,,,,,,,,,,,,,,,
,i. Updated by HDRO using projections from Barro and Lee (2018).,,,,,,,,,,,,,,,,,,
,j. Excludes the 36 special rotating delegates appointed on an ad hoc basis.,,,,,,,,,,,,,,,,,,
,k. Based on cross-country regression.,,,,,,,,,,,,,,,,,,
,l. Updated by HDRO based on data from Barro and Lee (2018) and ICF Macro Demographic and Health Surveys for various years.,,,,,,,,,,,,,,,,,,
,"m. Updated by HDRO based on data from the United Nations Educational, Scientific and Cultural Organization Institute for Statistics for various years.",,,,,,,,,,,,,,,,,,
,"n. A special update by WHO, UNICEF, UNFPA, World Bank Group and United Nations Population Division (2019), communicated to HDRO on 7 September 2020.",,,,,,,,,,,,,,,,,,
,o. Based on projections from Barro and Lee (2018).,,,,,,,,,,,,,,,,,,
,p. Refers to 2019.,,,,,,,,,,,,,,,,,,
,q. Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for various years.,,,,,,,,,,,,,,,,,,
,r. Refers to 2018.,,,,,,,,,,,,,,,,,,
,s. Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for various years and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,
,t. Refers to 2020.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,
,"Gender Inequality Index: A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. See Technical note 4 at http://hdr.undp.org/sites/default/files/hdr2022_technical_notes.pdf for details on how the Gender Inequality Index is calculated.",,,,,,,,,,,,,,,,,,
,"Maternal mortality ratio: Number of deaths due to pregnancy-related causes per 100,000 live births.",,,,,,,,,,,,,,,,,,
,"Adolescent birth rate: Number of births to women ages 15–19 per 1,000 women ages 15–19.",,,,,,,,,,,,,,,,,,
,"Share of seats in parliament: Proportion of seats held by women in the national parliament expressed as a percentage of total seats. For countries with a bicameral legislative system, the share of seats is calculated based on both houses.",,,,,,,,,,,,,,,,,,
,Population with at least some secondary education: Percentage of the population ages 25 and older that has reached (but not necessarily completed) a secondary level of education.,,,,,,,,,,,,,,,,,,
,"Labour force participation rate: Proportion of the working-age population (ages 15 and older) that engages in the labour market, either by working or actively looking for work, expressed as a percentage of the working-age population.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,
,Column 1: HDRO calculations based on data in columns 3–9.,,,,,,,,,,,,,,,,,,
,Column 2: Calculated based on data in column 1.,,,,,,,,,,,,,,,,,,
,"Column 3: WHO, UNICEF, UNFPA, World Bank Group and United Nations Population Division (2019).",,,,,,,,,,,,,,,,,,
,Column 4: UNDESA (2022a).,,,,,,,,,,,,,,,,,,
,Column 5: IPU (2022).,,,,,,,,,,,,,,,,,,
,"Columns 6 and 7: Barro and Lee (2018), ICF Macro Demographic and Health Surveys, OECD (2022), UNESCO Institute for Statistics (2022) and UNICEF Multiple Indicator Cluster Surveys.",,,,,,,,,,,,,,,,,,
,Columns 8 and 9: ILO (2022).,,,,,,,,,,,,,,,,,,